Idade,Atrito,Viagem_negócios,Departamento,Distância_casa,Educação,Campo_educação,ID_funcionário,Stisfação_ambiente,Genero,Envolvimento_trabalho,Nível_trabalho,Função,Satisfação_trabalho,Status_civil,Salário,Qtd_empresas_trabalhadas,Hora_extra,Porcentacem_aumento_salário,Desempenho,Satisfação_relação,Qtd_opções_ações,Anos_trabalhando,Qtd_treinamentos,Equilibro_trabalho_pessoal,Anos_companhia,Anos_mesmo_cargo,Anos_pós_promoção,Anos_mesmo_gestor
41,Sim,Raramente,Vendas,1,2,Ciências da vida,1,2,F,3,2,Executivo de vendas,4,Solteiro,5993,8,Sim,11,3,1,0,8,0,1,6,4,0,5
49,Não,Frequentemente,Pesquisa & Desenvolvimento,8,1,Ciências da vida,2,3,M,2,2,Pesquisador,2,Casado,5130,1,Não,23,4,4,1,10,3,3,10,7,1,7
37,Sim,Raramente,Pesquisa & Desenvolvimento,2,2,Outro,4,4,M,2,1,Técnico de laboratório,3,Solteiro,2090,6,Sim,15,3,2,0,7,3,3,0,0,0,0
33,Não,Frequentemente,Pesquisa & Desenvolvimento,3,4,Ciências da vida,5,4,F,3,1,Pesquisador,3,Casado,2909,1,Sim,11,3,3,0,8,3,3,8,7,3,0
27,Não,Raramente,Pesquisa & Desenvolvimento,2,1,Medicina,7,1,M,3,1,Técnico de laboratório,2,Casado,3468,9,Não,12,3,4,1,6,3,3,2,2,2,2
32,Não,Frequentemente,Pesquisa & Desenvolvimento,2,2,Ciências da vida,8,4,M,3,1,Técnico de laboratório,4,Solteiro,3068,0,Não,13,3,3,0,8,2,2,7,7,3,6
59,Não,Raramente,Pesquisa & Desenvolvimento,3,3,Medicina,10,3,F,4,1,Técnico de laboratório,1,Casado,2670,4,Sim,20,4,1,3,12,3,2,1,0,0,0
30,Não,Raramente,Pesquisa & Desenvolvimento,24,1,Ciências da vida,11,4,M,3,1,Técnico de laboratório,3,Divorciado,2693,1,Não,22,4,2,1,1,2,3,1,0,0,0
38,Não,Frequentemente,Pesquisa & Desenvolvimento,23,3,Ciências da vida,12,4,M,2,3,Diretor de manufatura,3,Solteiro,9526,0,Não,21,4,2,0,10,2,3,9,7,1,8
36,Não,Raramente,Pesquisa & Desenvolvimento,27,3,Medicina,13,3,M,3,2,Representante de saúde,3,Casado,5237,6,Não,13,3,2,2,17,3,2,7,7,7,7
35,Não,Raramente,Pesquisa & Desenvolvimento,16,3,Medicina,14,1,M,4,1,Técnico de laboratório,2,Casado,2426,0,Não,13,3,3,1,6,5,3,5,4,0,3
29,Não,Raramente,Pesquisa & Desenvolvimento,15,2,Ciências da vida,15,4,F,2,2,Técnico de laboratório,3,Solteiro,4193,0,Sim,12,3,4,0,10,3,3,9,5,0,8
31,Não,Raramente,Pesquisa & Desenvolvimento,26,1,Ciências da vida,16,1,M,3,1,Pesquisador,3,Divorciado,2911,1,Não,17,3,4,1,5,1,2,5,2,4,3
34,Não,Raramente,Pesquisa & Desenvolvimento,19,2,Medicina,18,2,M,3,1,Técnico de laboratório,4,Divorciado,2661,0,Não,11,3,3,1,3,2,3,2,2,1,2
28,Sim,Raramente,Pesquisa & Desenvolvimento,24,3,Ciências da vida,19,3,M,2,1,Técnico de laboratório,3,Solteiro,2028,5,Sim,14,3,2,0,6,4,3,4,2,0,3
29,Não,Raramente,Pesquisa & Desenvolvimento,21,4,Ciências da vida,20,2,F,4,3,Diretor de manufatura,1,Divorciado,9980,1,Não,11,3,3,1,10,1,3,10,9,8,8
32,Não,Raramente,Pesquisa & Desenvolvimento,5,2,Ciências da vida,21,1,M,4,1,Pesquisador,2,Divorciado,3298,0,Sim,12,3,4,2,7,5,2,6,2,0,5
22,Não,Não,Pesquisa & Desenvolvimento,16,2,Medicina,22,4,M,4,1,Técnico de laboratório,4,Divorciado,2935,1,Sim,13,3,2,2,1,2,2,1,0,0,0
53,Não,Raramente,Vendas,2,4,Ciências da vida,23,1,F,2,4,Gerente,4,Casado,15427,2,Não,16,3,3,0,31,3,3,25,8,3,7
38,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Ciências da vida,24,4,M,3,1,Pesquisador,4,Solteiro,3944,5,Sim,11,3,3,0,6,3,3,3,2,1,2
24,Não,Não,Pesquisa & Desenvolvimento,11,2,Outro,26,1,F,4,2,Diretor de manufatura,3,Divorciado,4011,0,Não,18,3,4,1,5,5,2,4,2,1,3
36,Sim,Raramente,Vendas,9,4,Ciências da vida,27,3,M,2,1,Representante de vendas,1,Solteiro,3407,7,Não,23,4,2,0,10,4,3,5,3,0,3
34,Não,Raramente,Pesquisa & Desenvolvimento,7,4,Ciências da vida,28,1,F,3,3,Diretor de pesquisa,2,Solteiro,11994,0,Não,11,3,3,0,13,4,3,12,6,2,11
21,Não,Raramente,Pesquisa & Desenvolvimento,15,2,Ciências da vida,30,3,M,3,1,Pesquisador,4,Solteiro,1232,1,Não,14,3,4,0,0,6,3,0,0,0,0
34,Sim,Raramente,Pesquisa & Desenvolvimento,6,1,Medicina,31,2,M,3,1,Pesquisador,1,Solteiro,2960,2,Não,11,3,3,0,8,2,3,4,2,1,3
53,Não,Raramente,Pesquisa & Desenvolvimento,5,3,Outro,32,3,F,3,5,Gerente,3,Divorciado,19094,4,Não,11,3,4,1,26,3,2,14,13,4,8
32,Sim,Frequentemente,Pesquisa & Desenvolvimento,16,1,Ciências da vida,33,2,F,1,1,Pesquisador,1,Solteiro,3919,1,Sim,22,4,2,0,10,5,3,10,2,6,7
42,Não,Raramente,Vendas,8,4,Marketing,35,3,M,3,2,Executivo de vendas,2,Casado,6825,0,Não,11,3,4,1,10,2,3,9,7,4,2
44,Não,Raramente,Pesquisa & Desenvolvimento,7,4,Medicina,36,1,F,2,3,Representante de saúde,4,Casado,10248,3,Não,14,3,4,1,24,4,3,22,6,5,17
46,Não,Raramente,Vendas,2,4,Marketing,38,2,F,3,5,Gerente,1,Solteiro,18947,3,Não,12,3,4,0,22,2,2,2,2,2,1
33,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Medicina,39,3,M,3,1,Técnico de laboratório,4,Solteiro,2496,4,Não,11,3,4,0,7,3,3,1,1,0,0
44,Não,Raramente,Pesquisa & Desenvolvimento,10,4,Outro,40,4,M,3,2,Representante de saúde,4,Casado,6465,2,Sim,13,3,4,0,9,5,4,4,2,1,3
30,Não,Raramente,Pesquisa & Desenvolvimento,9,2,Medicina,41,4,M,2,1,Técnico de laboratório,3,Solteiro,2206,1,Não,13,3,1,0,10,5,3,10,0,1,8
39,Sim,Raramente,Vendas,5,3,Curso técnico,42,4,M,3,2,Representante de vendas,4,Casado,2086,3,Não,14,3,3,1,19,6,4,1,0,0,0
24,Sim,Raramente,Pesquisa & Desenvolvimento,1,3,Medicina,45,2,M,3,1,Pesquisador,4,Casado,2293,2,Sim,16,3,1,1,6,2,2,2,0,2,0
43,Não,Raramente,Pesquisa & Desenvolvimento,2,2,Medicina,46,4,F,4,1,Pesquisador,3,Divorciado,2645,1,Não,12,3,4,2,6,3,2,5,3,1,4
50,Sim,Raramente,Vendas,3,2,Marketing,47,1,M,2,1,Representante de vendas,3,Casado,2683,1,Sim,14,3,3,0,3,2,3,3,2,0,2
35,Não,Raramente,Vendas,2,3,Marketing,49,4,F,3,1,Representante de vendas,4,Casado,2014,1,Não,13,3,1,0,2,3,3,2,2,2,2
36,Não,Raramente,Pesquisa & Desenvolvimento,5,4,Ciências da vida,51,2,F,2,1,Pesquisador,1,Casado,3419,9,Sim,14,3,4,1,6,3,4,1,1,0,0
33,Não,Frequentemente,Vendas,1,3,Ciências da vida,52,3,F,4,2,Executivo de vendas,1,Casado,5376,2,Não,19,3,1,2,10,3,3,5,3,1,3
35,Não,Raramente,Pesquisa & Desenvolvimento,4,2,Outro,53,3,M,3,1,Técnico de laboratório,4,Divorciado,1951,1,Não,12,3,3,1,1,3,3,1,0,0,0
27,Não,Raramente,Pesquisa & Desenvolvimento,2,4,Ciências da vida,54,4,F,3,1,Técnico de laboratório,1,Divorciado,2341,1,Não,13,3,4,1,1,6,3,1,0,0,0
26,Sim,Raramente,Pesquisa & Desenvolvimento,25,3,Ciências da vida,55,1,M,1,1,Técnico de laboratório,3,Solteiro,2293,1,Não,12,3,3,0,1,2,2,1,0,0,1
27,Não,Frequentemente,Vendas,8,3,Ciências da vida,56,4,M,3,3,Executivo de vendas,3,Solteiro,8726,1,Não,15,3,4,0,9,0,3,9,8,1,7
30,Não,Frequentemente,Pesquisa & Desenvolvimento,1,2,Medicina,57,3,F,3,2,Técnico de laboratório,4,Solteiro,4011,1,Não,23,4,4,0,12,2,3,12,8,3,7
41,Sim,Raramente,Pesquisa & Desenvolvimento,12,3,Curso técnico,58,2,F,3,5,Diretor de pesquisa,3,Casado,19545,1,Não,12,3,4,0,23,0,3,22,15,15,8
34,Não,Não,Vendas,23,4,Marketing,60,2,M,3,2,Executivo de vendas,3,Solteiro,4568,0,Não,20,4,3,0,10,2,3,9,5,8,7
37,Não,Raramente,Pesquisa & Desenvolvimento,19,2,Ciências da vida,61,2,M,3,1,Pesquisador,2,Casado,3022,4,Não,21,4,1,0,8,1,3,1,0,0,0
46,Não,Frequentemente,Vendas,5,4,Marketing,62,1,M,3,2,Executivo de vendas,4,Solteiro,5772,4,Sim,21,4,3,0,14,4,3,9,6,0,8
35,Não,Raramente,Pesquisa & Desenvolvimento,8,1,Ciências da vida,63,4,M,4,1,Técnico de laboratório,4,Casado,2269,1,Não,19,3,4,0,1,2,3,1,0,0,1
48,Sim,Raramente,Pesquisa & Desenvolvimento,1,2,Ciências da vida,64,1,M,2,3,Técnico de laboratório,3,Solteiro,5381,9,Sim,13,3,4,0,23,2,3,1,0,0,0
28,Sim,Raramente,Pesquisa & Desenvolvimento,5,4,Curso técnico,65,3,M,3,1,Técnico de laboratório,3,Solteiro,3441,1,Sim,13,3,3,0,2,3,2,2,2,2,2
44,Não,Raramente,Vendas,1,5,Marketing,68,2,F,3,2,Executivo de vendas,1,Divorciado,5454,5,Sim,21,4,3,1,9,2,2,4,3,1,3
35,Não,Não,Pesquisa & Desenvolvimento,11,2,Medicina,70,3,M,2,3,Representante de saúde,1,Casado,9884,2,Sim,13,3,3,1,10,3,3,4,0,2,3
26,Não,Raramente,Vendas,23,3,Marketing,72,3,F,2,2,Executivo de vendas,4,Casado,4157,7,Sim,19,3,3,1,5,2,2,2,2,0,0
33,Não,Frequentemente,Pesquisa & Desenvolvimento,1,2,Ciências da vida,73,1,F,3,3,Diretor de pesquisa,4,Solteiro,13458,1,Sim,12,3,3,0,15,1,3,15,14,8,12
35,Não,Frequentemente,Vendas,18,5,Ciências da vida,74,2,M,3,3,Executivo de vendas,1,Casado,9069,1,Não,22,4,4,1,9,3,2,9,8,1,8
35,Não,Raramente,Pesquisa & Desenvolvimento,23,4,Medicina,75,3,F,3,1,Técnico de laboratório,1,Casado,4014,3,Sim,15,3,3,1,4,3,3,2,2,2,2
31,Não,Raramente,Pesquisa & Desenvolvimento,7,4,Ciências da vida,76,4,M,3,2,Técnico de laboratório,4,Divorciado,5915,3,Não,22,4,4,1,10,3,2,7,7,1,7
37,Não,Raramente,Pesquisa & Desenvolvimento,1,4,Ciências da vida,77,1,M,2,2,Diretor de manufatura,3,Divorciado,5993,1,Não,18,3,3,1,7,2,4,7,5,0,7
32,Não,Raramente,Pesquisa & Desenvolvimento,1,3,Medicina,78,1,M,3,2,Diretor de manufatura,4,Casado,6162,1,Sim,22,4,2,1,9,3,3,9,8,7,8
38,Não,Frequentemente,Pesquisa & Desenvolvimento,29,5,Ciências da vida,79,4,F,3,2,Técnico de laboratório,4,Solteiro,2406,1,Não,11,3,4,0,10,2,3,10,3,9,9
50,Não,Raramente,Pesquisa & Desenvolvimento,7,2,Medicina,80,2,F,2,5,Diretor de pesquisa,3,Divorciado,18740,5,Sim,12,3,4,1,29,2,2,27,3,13,8
59,Não,Raramente,Vendas,25,3,Ciências da vida,81,1,F,3,3,Executivo de vendas,1,Solteiro,7637,7,Não,11,3,4,0,28,3,2,21,16,7,9
36,Não,Raramente,Pesquisa & Desenvolvimento,8,3,Curso técnico,83,3,F,3,3,Representante de saúde,3,Divorciado,10096,1,Não,13,3,2,3,17,2,3,17,14,12,8
55,Não,Raramente,Pesquisa & Desenvolvimento,8,3,Medicina,84,4,F,3,4,Gerente,3,Divorciado,14756,2,Sim,14,3,3,3,21,2,3,5,0,0,2
36,Não,Frequentemente,Pesquisa & Desenvolvimento,11,3,Ciências da vida,85,2,M,2,2,Diretor de manufatura,2,Solteiro,6499,1,Não,13,3,3,0,6,3,3,6,5,0,3
45,Não,Raramente,Pesquisa & Desenvolvimento,7,3,Ciências da vida,86,2,M,3,3,Pesquisador,1,Divorciado,9724,2,Não,17,3,3,1,25,2,3,1,0,0,0
35,Não,Frequentemente,Pesquisa & Desenvolvimento,1,3,Medicina,88,2,M,3,1,Pesquisador,1,Casado,2194,4,Não,13,3,4,1,5,2,2,3,2,1,2
36,Sim,Raramente,Pesquisa & Desenvolvimento,9,3,Medicina,90,4,M,2,1,Pesquisador,3,Casado,3388,0,Sim,17,3,1,1,2,0,2,1,0,0,0
59,Não,Frequentemente,Vendas,1,1,Ciências da vida,91,1,F,2,2,Executivo de vendas,3,Solteiro,5473,7,Não,11,3,4,0,20,2,2,4,3,1,3
29,Não,Raramente,Pesquisa & Desenvolvimento,2,3,Ciências da vida,94,3,M,3,1,Pesquisador,2,Casado,2703,0,Não,23,4,4,1,6,3,3,5,4,0,4
31,Não,Raramente,Pesquisa & Desenvolvimento,1,4,Medicina,95,3,M,3,1,Pesquisador,2,Solteiro,2501,1,Não,17,3,2,0,1,4,3,1,1,1,0
32,Não,Raramente,Pesquisa & Desenvolvimento,1,3,Ciências da vida,96,2,M,3,2,Pesquisador,2,Casado,6220,1,Não,17,3,2,2,10,3,3,10,4,0,9
36,Não,Raramente,Pesquisa & Desenvolvimento,6,3,Ciências da vida,97,2,F,4,1,Técnico de laboratório,4,Casado,3038,3,Não,12,3,2,0,5,3,3,1,0,0,0
31,Não,Raramente,Pesquisa & Desenvolvimento,8,4,Ciências da vida,98,3,F,3,2,Diretor de manufatura,4,Solteiro,4424,1,Não,23,4,4,0,11,2,3,11,7,1,8
35,Não,Raramente,Vendas,1,4,Marketing,100,3,M,2,2,Executivo de vendas,1,Solteiro,4312,0,Não,14,3,2,0,16,2,3,15,13,2,8
45,Não,Raramente,Pesquisa & Desenvolvimento,6,4,Outro,101,4,M,3,3,Diretor de pesquisa,1,Casado,13245,4,Sim,14,3,2,0,17,3,4,0,0,0,0
37,Não,Raramente,Pesquisa & Desenvolvimento,7,4,Medicina,102,1,M,3,3,Diretor de pesquisa,3,Solteiro,13664,4,Não,13,3,1,0,16,3,4,5,2,0,2
46,Não,Raramente,Recursos humanos,5,2,Medicina,103,2,M,3,2,Recursos humanos,2,Divorciado,5021,8,Sim,22,4,4,1,16,2,3,4,2,0,2
30,Não,Raramente,Pesquisa & Desenvolvimento,1,1,Ciências da vida,104,4,M,2,2,Técnico de laboratório,4,Casado,5126,1,Sim,12,3,3,2,10,1,2,10,8,3,0
